Status,Localidade,People,Usuário,Tipo de acesso,Operadora,Número (Designação),Valor Fidelizado,Centro de custo,Velocidade,Data Ativação,Data Desativação,vd,Obs. Acesso
ATIVO,Não informado,456,VD456 - DSP AGUAS CLARAS IV,VPN IP MPLS,VIVO,610000195030599,380,2004560000,10 MBPS,,,,
ATIVO,Não informado,456,VD456 - DSP AGUAS CLARAS IV,MONITORA DADOS,VIVO,610000195051991,20,2004560000,,,,,
ATIVO,POLO,456,VD456 - DSP AGUAS CLARAS IV,INN,EMBRATEL,BSA_IP_24819,687.67,2004560000,4 MB,,,,2004560000
ATIVO,LOJA,454,VD454 - DSP RAPOSO TAVARES,DADOS,VIVO,110000161035890,,2004540000,0 MB,,,,
ATIVO,Não informado,454,VD454 - DSP RAPOSO TAVARES,DADOS,VIVO,110000184794095,,2004540000,,,,,
ATIVO,Não informado,454,VD454 - DSP RAPOSO TAVARES,DADOS,VIVO,110000184794498,,2004540000,,,,,
ATIVO,Não informado,454,VD454 - DSP RAPOSO TAVARES,DADOS,VIVO,110000194974598,329.33,2004540000,,,,,
ATIVO,Não informado,454,VD454 - DSP RAPOSO TAVARES,DADOS,VIVO,110000194979692,17.34,2004540000,,,,,
ATIVO,Não informado,454,VD454 - DSP RAPOSO TAVARES,VPN IP MPLS,VIVO,110000198844591,990.67,2004540000,10 MBPS,,,,
ATIVO,Não informado,454,VD454 - DSP RAPOSO TAVARES,MONITORA DADOS,VIVO,110000198844690,12.67,2004540000,,,,,
ATIVO,Vendas,454,VD454 - DSP RAPOSO TAVARES,DADOS,VIVO,110003735049192,,2004540000,,,,,
ATIVO,LOJA,454,VD454 - DSP RAPOSO TAVARES,DADOS,VIVO,110003782043294,,2004540000,10 MB,,,,
ATIVO,LOJA,454,VD454 - DSP RAPOSO TAVARES,INN,EMBRATEL,SPO_IP_87864,470.04,2004540000,4 MB,,,,2004540000
ATIVO,LOJA,453,VD453 - DSP SHOPPING VENTURA MALL,DADOS,VIVO,111350160259899,,2004530000,0 MB,,,,
ATIVO,Não informado,453,VD453 - DSP SHOPPING VENTURA MALL,MONITORA DADOS,VIVO,111350196309095,20,2004530000,,,,,
