Status,Localidade,People,Usuário,Tipo de acesso,Operadora,Número (Designação),Valor Fidelizado,Centro de custo,Velocidade,Data Ativação,Data Desativação,vd,Obs. Acesso
CANCELADO,LOJA,2117,L2117 - DSP CLN 309,DADOS,VIVO,BSA815DOIO4OO0,,2021170000,,,12/11/2023,,MULTA  R$ 1027.63  PROTOCOLO 11122023-3866811
ATIVO,LOJA,2116,L2116 - DSP FEIRA DE SANTANA III,DADOS,VIVO,712200142330397,,2021160000,10 MB,,,,
ATIVO,LOJA,2116,L2116 - DSP FEIRA DE SANTANA III,DADOS,VIVO,712200142332195,,2021160000,0 MB,,,,
ATIVO,Não informado,2116,L2116 - DSP FEIRA DE SANTANA III,DADOS,VIVO,712200160095099,,2021160000,,,,,
ATIVO,LOJA,2116,L2116 - DSP FEIRA DE SANTANA III,DADOS,VIVO,712200160123095,,2021160000,,,,,
ATIVO,Não informado,2116,L2116 - DSP FEIRA DE SANTANA III,DADOS,VIVO,712200183105893,312.64,2021160000,,,,,
ATIVO,Não informado,2116,L2116 - DSP FEIRA DE SANTANA III,DADOS,VIVO,712200183105991,44.17,2021160000,,,,,
ATIVO,Não informado,2116,L2116 - DSP FEIRA DE SANTANA III,VPN IP MPLS,VIVO,712200201919091,234.33,2021160000,10 MBPS,,,,
ATIVO,Não informado,2116,L2116 - DSP FEIRA DE SANTANA III,MONITORA DADOS,VIVO,712200201943990,12.34,2021160000,,,,,
ATIVO,LOJA,2116,L2116 - DSP FEIRA DE SANTANA III,INN,EMBRATEL,FSA_IP_07052,297.06,2021160000,4 MB,,,,DADOS
ATIVO,LOJA,2113,L2113 - DSP LAGO SUL III,DADOS,VIVO,610000160198695,,2021130000,10 MB,,,,
ATIVO,LOJA,2113,L2113 - DSP LAGO SUL III,DADOS,VIVO,610000160228097,,2021130000,0 MB,,,,
ATIVO,Não informado,2113,L2113 - DSP LAGO SUL III,VPN IP MPLS,VIVO,610000194972299,380,2021130000,10 MBPS,,,,
ATIVO,Não informado,2113,L2113 - DSP LAGO SUL III,MONITORA DADOS,VIVO,610000194978695,20,2021130000,,,,,
ATIVO,LOJA,2113,L2113 - DSP LAGO SUL III,INN,EMBRATEL,BSA_IP_22703,280.88,2021130000,4 MB,,,,2021130000
ATIVO,LOJA,2111,L2111 - DSP LAUZANE PAULISTA II,DADOS,VIVO,110000160861890,,2021110000,0 MB,,,,
ATIVO,Não informado,2111,L2111 - DSP LAUZANE PAULISTA II,MONITORA DADOS,VIVO,110000196272790,20,2021110000,,,,,
ATIVO,LOJA,2111,L2111 - DSP LAUZANE PAULISTA II,VPN IP MPLS,VIVO,110002239021490,380,2021110000,10 MBPS,,,,
ATIVO,Não informado,2111,L2111 - DSP LAUZANE PAULISTA II,DADOS,VIVO,2239021490,,2021110000,,,,,
ATIVO,LOJA,2111,L2111 - DSP LAUZANE PAULISTA II,INN,EMBRATEL,SPO_IP_82220,286.05,2021110000,4 MB,,,,2021110000
ATIVO,LOJA,2110,L2110 - DSP REPUBLICA DO LIBANO II,VPN IP MPLS,VIVO,620000160067998,353.93,2021100000,10 MBPS,,,,
ATIVO,LOJA,2110,L2110 - DSP REPUBLICA DO LIBANO II,MONITORA DADOS,VIVO,620000160104590,50,2021100000,0 MB,,,,
ATIVO,LOJA,2110,L2110 - DSP REPUBLICA DO LIBANO II,INN,EMBRATEL,GNA_IP_03880,280.71,2021100000,4 MB,,,,2021100000
ATIVO,LOJA,2109,L2109 - DSP SERRA DE JAPI,DADOS,VIVO,110000160861192,,2021090000,0 MB,,,,
ATIVO,Não informado,2109,L2109 - DSP SERRA DE JAPI,MONITORA DADOS,VIVO,110000196323290,20,2021090000,,,,,
ATIVO,LOJA,2109,L2109 - DSP SERRA DE JAPI,VPN IP MPLS,VIVO,110002097106199,380,2021090000,10 MBPS,,,,
ATIVO,LOJA,2109,L2109 - DSP SERRA DE JAPI,INN,EMBRATEL,SPO_IP_85077,276.679999999999,2021090000,4 MB,,,,DADOS
ATIVO,LOJA,2108,L2108 - DSP PIRITUBA III,DADOS,VIVO,110000160840791,,2025510000,0 MB,,,,
ATIVO,LOJA,2105,L2105 - DSP SAO MIGUEL IV,DADOS,VIVO,110000160973199,,2021050000,0 MB,,,,
ATIVO,Não informado,2105,L2105 - DSP SAO MIGUEL IV,MONITORA DADOS,VIVO,110000195041799,20,2021050000,,,,,
ATIVO,LOJA,2105,L2105 - DSP SAO MIGUEL IV,VPN IP MPLS,VIVO,110002025212596,380,2021050000,10 MBPS,,,,
ATIVO,LOJA,2105,L2105 - DSP SAO MIGUEL IV,INN,EMBRATEL,SPO_IP_89610,475.569999999999,2021050000,4 MB,,,,2021050000
ATIVO,LOJA,2104,L2104 - DSP VILA TEIXEIRA,DADOS,VIVO,111350160259398,37.22,2021040000,0 MB,,,,
ATIVO,LOJA,2104,L2104 - DSP VILA TEIXEIRA,VPN IP MPLS,VIVO,111353213007197,352.29,2021040000,10 MBPS,,,,
ATIVO,Não informado,2104,L2104 - DSP VILA TEIXEIRA,DADOS,VIVO,3213007197,,2021040000,,,,,
ATIVO,LOJA,2104,L2104 - DSP VILA TEIXEIRA,INN,EMBRATEL,CAS_IP_32006,483.69,2021040000,4 MB,,,,2021040000
ATIVO,LOJA,2103,L2103 - DSP PARQUE DA CIDADE,DADOS,VIVO,115630160811593,,2021030000,0 MB,,,,
ATIVO,Não informado,2103,L2103 - DSP PARQUE DA CIDADE,MONITORA DADOS,VIVO,115630194977197,20,2021030000,,,,,
ATIVO,LOJA,2103,L2103 - DSP PARQUE DA CIDADE,VPN IP MPLS,VIVO,115633922337195,380,2021030000,10 MBPS,,,,
ATIVO,Não informado,2103,L2103 - DSP PARQUE DA CIDADE,DADOS,VIVO,3922337195,,2021030000,,,,,
ATIVO,LOJA,2103,L2103 - DSP PARQUE DA CIDADE,INN,EMBRATEL,SJC_IP_02727,286.05,2021030000,4 MB,,,,2021030000
ATIVO,LOJA,2102,L2102 - DSP VILA SAO JOSE,DADOS,VIVO,110000160981691,,2021020000,0 MB,,,,
ATIVO,Não informado,2102,L2102 - DSP VILA SAO JOSE,DADOS,VIVO,110000179317899,,2021020000,,,,,
ATIVO,Não informado,2102,L2102 - DSP VILA SAO JOSE,MONITORA DADOS,VIVO,110000195053996,20,2021020000,,,,,
ATIVO,Não informado,2102,L2102 - DSP VILA SAO JOSE,VPN IP MPLS,VIVO,110005928041890,380,2021020000,10 MBPS,,,,
ATIVO,LOJA,2102,L2102 - DSP VILA SAO JOSE,DADOS,VIVO,110005928043397,,2021020000,10 MB,,,,
ATIVO,Não informado,2102,L2102 - DSP VILA SAO JOSE,DADOS,VIVO,5928041890,,2021020000,,,,,
ATIVO,LOJA,2102,L2102 - DSP VILA SAO JOSE,INN,EMBRATEL,SPO_IP_82213,290,2021020000,4 MB,,,,DADOS
ATIVO,LOJA,2099,L2099 - DSP BERRINI II,DADOS,VIVO,110000160977993,,2020990000,0 MB,,,,
ATIVO,Não informado,2099,L2099 - DSP BERRINI II,MONITORA DADOS,VIVO,110000196266499,20,2020990000,,,,,
ATIVO,LOJA,2099,L2099 - DSP BERRINI II,VPN IP MPLS,VIVO,110005506108499,380,2020990000,10 MBPS,,,,
ATIVO,Não informado,2099,L2099 - DSP BERRINI II,DADOS,VIVO,5506108499,,2020990000,,,,,
ATIVO,LOJA,2099,L2099 - DSP BERRINI II,INN,EMBRATEL,SPO_IP_94926,483.69,2020990000,4 MB,,,,2020990000
ATIVO,LOJA,2097,L2097 - DSP VILA CLEMENTINO IV,DADOS,VIVO,110000160838695,,2020970000,0 MB,,,,
ATIVO,Não informado,2097,L2097 - DSP VILA CLEMENTINO IV,MONITORA DADOS,VIVO,110000195107193,20,2020970000,,,,,
ATIVO,LOJA,2097,L2097 - DSP VILA CLEMENTINO IV,VPN IP MPLS,VIVO,110005589182691,380,2020970000,10 MBPS,,,,
ATIVO,LOJA,2097,L2097 - DSP VILA CLEMENTINO IV,INN,EMBRATEL,SPO_IP_87975,277.64,2020970000,4 MB,,,,2020970000
ATIVO,LOJA,2096,L2096 - DSP VILA OSASCO,DADOS,VIVO,114250160620591,,2020960000,0 MB,,,,
ATIVO,Não informado,2096,L2096 - DSP VILA OSASCO,MONITORA DADOS,VIVO,114250195254493,20,2020960000,,,,,
ATIVO,LOJA,2096,L2096 - DSP VILA OSASCO,VPN IP MPLS,VIVO,114253681221597,380,2020960000,10 MBPS,,,,
ATIVO,LOJA,2096,L2096 - DSP VILA OSASCO,INN,EMBRATEL,OCO_IP_02464,304.97,2020960000,4 MB,,,,2020960000
ATIVO,LOJA,2095,L2095 - DSP VILA ROMANA I,DADOS,VIVO,110000161041092,,2020950000,0 MB,,,,
ATIVO,Não informado,2095,L2095 - DSP VILA ROMANA,MONITORA DADOS,VIVO,110000195164396,20,2020950000,,,,,
ATIVO,LOJA,2095,L2095 - DSP VILA ROMANA I,VPN IP MPLS,VIVO,110003673205099,380,2020950000,10 MBPS,,,,
ATIVO,LOJA,2095,L2095 - DSP VILA ROMANA I,INN,EMBRATEL,SPO_IP_94919,483.69,2020950000,4 MB,,,,2020950000
ATIVO,LOJA,2094,L2094 - DSP BARAO DE LIMEIRA,DADOS,VIVO,110000160810694,,2025520000,0 MB,,,,
ATIVO,LOJA,2093,L2093 - DSP SHOPPING DA BAHIA 3 PISO,DADOS,VIVO,119171999,,2020910000,,,,,
ATIVO,LOJA,2093,L2093 - DSP SHOPPING DA BAHIA 3 PISO,VPN IP MPLS,VIVO,710000119171999,352.85,2020910000,512 KBPS,,,,
ATIVO,LOJA,2093,L2093 - DSP SHOPPING DA BAHIA 3 PISO,MONITORA DADOS,VIVO,710000119172092,50,2020910000,0 MB,,,,
ATIVO,LOJA,2093,L2093 - DSP SHOPPING DA BAHIA 3 PISO,INN,EMBRATEL,SDR_IP_28738,494.72,2020930000,4 MB,,,,DADOS
ATIVO,LOJA,2092,L2092 - DSP SHOPPING DA BAHIA 2 PISO,INN,EMBRATEL,SDR_IP_28739,494.72,2020920000,4 MB,,,,DADOS
ATIVO,LOJA,2091,L2091 - DSP SHOPPING DA BAHIA 1 PISO,INN,EMBRATEL,SDR_IP_23012,517.1,2020910000,4 MB,,,,
ATIVO,LOJA,2090,L2090 - DSP AVENIDA SAO JOAO,INN,EMBRATEL,SPO_IP_55642,304.97,2020900000,4 MB,,,,2020900000
ATIVO,LOJA,2089,L2089 - DSP PAULISTA III,DADOS,VIVO,110000160859695,,2020890000,0 MB,,,,
ATIVO,Não informado,2089,L2089 - DSP PAULISTA III,MONITORA DADOS,VIVO,110000195048299,20,2020890000,,,,,
ATIVO,LOJA,2089,L2089 - DSP PAULISTA III,VPN IP MPLS,VIVO,110003256039294,380,2020890000,10 MBPS,,,,
ATIVO,Não informado,2089,L2089 - DSP PAULISTA III,DADOS,VIVO,3256039294,,2020890000,,,,,
ATIVO,LOJA,2089,L2089 - DSP PAULISTA III,INN,EMBRATEL,SPO_IP_82210,283.68,2020890000,4 MB,,,,DADOS
ATIVO,LOJA,2088,L2088 - DSP RIO VERMELHO II,DADOS,VIVO,710000160333299,312.64,2020880000,10 MB,,,,
ATIVO,LOJA,2088,L2088 - DSP RIO VERMELHO II,DADOS,VIVO,710000160337592,44.17,2020880000,0 MB,,,,
ATIVO,Não informado,2088,L2088 - DSP RIO VERMELHO II,VPN IP MPLS,VIVO,710000201921590,234.33,2020880000,10 MBPS,,,,
ATIVO,Não informado,2088,L2088 - DSP RIO VERMELHO II,MONITORA DADOS,VIVO,710000201951295,12.34,2020880000,,,,,
CANCELADO,LOJA,2088,L2088 - DSP RIO VERMELHO II,DADOS,EMBRATEL,SDR_IP_29761,,2020880000,4 MB,,3/25/2024,,Protocolo cancelamento 2024773052418
ATIVO,LOJA,2088,L2088 - DSP RIO VERMELHO II,INN,EMBRATEL,SDR_IP_32292,223.08,2020880000,4 MB,,,,2022430000
ATIVO,LOJA,2084,L2084 - DSP SETOR BUENO III,DADOS,VIVO,620000160212195,,2020840000,10 MB,,,,
ATIVO,LOJA,2084,L2084 - DSP SETOR BUENO III,DADOS,VIVO,620000160253699,,2020840000,0 MB,,,,
ATIVO,Não informado,2084,L2084 - DSP SETOR BUENO III,VPN IP MPLS,VIVO,620000196318791,380,2020840000,10 MBPS,,,,
ATIVO,Não informado,2084,L2084 - DSP SETOR BUENO III,MONITORA DADOS,VIVO,620000196320092,20,2020840000,,,,,
ATIVO,LOJA,2084,L2084 - DSP SETOR BUENO III,INN,EMBRATEL,GNA_IP_04782,277.8,2020840000,4 MB,,,,2020840000
ATIVO,Não informado,2083,L2083 - DSP SHOPPING PASSEIO DAS AGUAS,DADOS,VIVO,210880183485193,,3015430000,,,,,
ATIVO,LOJA,2083,L2083 - DSP SHOPPING PASSEIO DAS AGUAS,DADOS,VIVO,620000142886999,,2020830000,10 MB,,,,
ATIVO,LOJA,2083,L2083 - DSP SHOPPING PASSEIO DAS AGUAS,MONITORA DADOS,VIVO,620000142893296,,2020830000,0 MB,,,,
ATIVO,Não informado,2083,L2083 - DSP SHOPPING PASSEIO DAS AGUAS,DADOS,VIVO,620000160067595,312.09,2020830000,,,,,
ATIVO,LOJA,2083,L2083 - DSP SHOPPING PASSEIO DAS AGUAS,DADOS,VIVO,620000160104198,44.17,2020830000,,,,,
ATIVO,Não informado,2083,L2083 - DSP SHOPPING PASSEIO DAS AGUAS,VPN IP MPLS,VIVO,620000201941790,234.33,2020830000,10 MBPS,,,,
ATIVO,Não informado,2083,L2083 - DSP SHOPPING PASSEIO DAS AGUAS,MONITORA DADOS,VIVO,620000201948496,12.34,2020830000,,,,,
ATIVO,LOJA,2080,L2080 - DSP DIADEMA II,VPN IP MPLS,VIVO,111850142920796,,2020800000,0 MB,,,,
ATIVO,MATRIZ,2080,L2080 - DSP DIADEMA II,DADOS,VIVO,111850159970096,,2020800000,,,,,
ATIVO,Não informado,2080,L2080 - DSP DIADEMA II,MONITORA DADOS,VIVO,111850195158192,20,2020800000,,,,,
CANCELADO,LOJA,2080,L2080 - DSP DIADEMA II,DADOS,VIVO,111854057110399,,2020800000,10 MB,,,,
ATIVO,LOJA,2080,L2080 - DSP DIADEMA II,VPN IP MPLS,VIVO,111854057180095,380,2020800000,10 MBPS,,,,
ATIVO,LOJA,2080,L2080 - DSP DIADEMA II,INN,EMBRATEL,DDA_IP_01843,277.64,2020800000,4 MB,,,,2020800000
ATIVO,LOJA,2079,L2079 - DSP TABOAO DA SERRA IV,VPN IP MPLS,VIVO,116440142905299,380,2020790000,10 MBPS,,,,
ATIVO,LOJA,2079,L2079 - DSP TABOAO DA SERRA IV,DADOS,VIVO,116440160694890,,2020790000,0 MB,,,,
ATIVO,Não informado,2079,L2079 - DSP TABOAO DA SERRA IV,MONITORA DADOS,VIVO,116440196273395,20,2020790000,,,,,
ATIVO,LOJA,2079,L2079 - DSP TABOAO DA SERRA IV,INN,EMBRATEL,TBS_IP_01112,475.26,2020790000,4 MB,,,,DADOS
ATIVO,Não informado,2077,L2077 - DSP SHOPPING BELLA VISTA,DADOS,VIVO,710000173001895,,2020770000,,,,,
ATIVO,Não informado,2077,L2077 DSP SHOPPING BELLA VISTA,DADOS,VIVO,710000173002293,,2020770000,,,,,
ATIVO,Não informado,2077,L2077 - DSP SHOPPING BELLA VISTA,VPN IP MPLS,VIVO,710000195029490,380,2020770000,10 MBPS,,,,
ATIVO,Não informado,2077,L2077 - DSP SHOPPING BELLA VISTA,MONITORA DADOS,VIVO,710000195048092,20,2020770000,,,,,
ATIVO,LOJA,2076,L2076 - DSP PARQUE VACA BRAVA,DADOS,VIVO,620000160068494,306.74,2020760000,10 MB,,,,
ATIVO,LOJA,2076,L2076 - DSP PARQUE VACA BRAVA,DADOS,VIVO,620000160104797,43.34,2020760000,0 MB,,,,
ATIVO,Não informado,2076,L2076 - DSP PARQUE VACA BRAVA,IP DEDICADO,VIVO,620000194002894,385,2020760000,20 MBPS,,,,
ATIVO,Não informado,2076,L2076 - DSP PARQUE VACA BRAVA,MONITORA DADOS,VIVO,620000194006294,20,2020760000,,,,,
ATIVO,Não informado,2076,L2076 - DSP PARQUE VACA BRAVA,VPN IP MPLS,VIVO,620000201870197,240.67,2020760000,10 MBPS,,,,
ATIVO,Não informado,2076,L2076 - DSP PARQUE VACA BRAVA,MONITORA DADOS,VIVO,620000201884094,12.67,2020760000,,,,,
ATIVO,LOJA,2076,L2076 - DSP PARQUE VACA BRAVA,INN,EMBRATEL,GNA_IP_04762,655.82,2020760000,4 MB,,,,2020760000
ATIVO,LOJA,2075,L2075 - DSP SAO VICENTE III,DADOS,VIVO,115770160699090,,2020750000,0 MB,,,,
ATIVO,Não informado,2075,L2075 - DSP SAO VICENTE III,MONITORA DADOS,VIVO,115770196265590,20,2020750000,,,,,
ATIVO,LOJA,2075,L2075 - DSP SAO VICENTE III,VPN IP MPLS,VIVO,115773468067499,380,2020750000,10 MBPS,,,,
ATIVO,Não informado,2075,L2075 - DSP SAO VICENTE III,DADOS,VIVO,3468067499,,2020750000,,,,,
ATIVO,LOJA,2075,L2075 - DSP SAO VICENTE III,INN,EMBRATEL,SVE_IP_01698,475.26,2020750000,4 MB,,,,DADOS
ATIVO,LOJA,2074,L2074 - DSP SHOPPING RIOMAR,DADOS,VIVO,118872793,,2020740000,,,,,
ATIVO,LOJA,2074,L2074 - DSP SHOPPING RIOMAR,VPN IP MPLS,VIVO,810000118872793,366.83,2020740000,512 KBPS,,,,2000880000
ATIVO,LOJA,2074,L2074 - DSP SHOPPING RIOMAR,MONITORA DADOS,VIVO,810000118872891,50,2020740000,0 MB,,,,
ATIVO,LOJA,2074,L2074 - DSP SHOPPING RIOMAR,INN,EMBRATEL,RCE_IP_14470,305.409999999999,2020740000,4 MB,,,,2020740000
ATIVO,LOJA,2072,L2072 - DSP PRESIDENTE PRUDENTE V,DADOS,VIVO,115070160619492,,2020720000,0 MB,,,,
ATIVO,Não informado,2072,L2072 - DSP PRESIDENTE PRUDENTE V,MONITORA DADOS,VIVO,115070196092193,20,2020720000,,,,,
ATIVO,Não informado,2072,L2072 - DSP PRESIDENTE PRUDENTE V,VPN IP MPLS,VIVO,115073908101393,380,2020720000,10 MBPS,,,,
ATIVO,LOJA,2072,L2072 - DSP PRESIDENTE PRUDENTE V,DADOS,VIVO,115073908115599,,2020720000,10 MB,,,,
ATIVO,Não informado,2072,L2072 - DSP PRESIDENTE PRUDENTE V,DADOS,VIVO,3908101393,,2020720000,,,,,
ATIVO,Não informado,2072,L2072 - DSP PRESIDENTE PRUDENTE V,DADOS,VIVO,3908115599,,2020720000,,,,,
ATIVO,LOJA,2072,L2072 - DSP PRESIDENTE PRUDENTE V,INN,EMBRATEL,PPE_IP_01309,283.68,2020720000,4 MB,,,,DADOS
ATIVO,LOJA,2071,L2071 - DSP SETOR NOVA SUICA,DADOS,VIVO,620000160067094,,2020710000,10 MB,,,,
ATIVO,LOJA,2071,L2071 - DSP SETOR NOVA SUICA,DADOS,VIVO,620000160103593,,2020710000,0 MB,,,,
ATIVO,Não informado,2071,L2071 - DSP SETOR NOVA SUICA,VPN IP MPLS,VIVO,620000195303794,380,2020710000,10 MBPS,,,,
ATIVO,Não informado,2071,L2071 - DSP SETOR NOVA SUICA,MONITORA DADOS,VIVO,620000195323198,20,2020710000,,,,,
ATIVO,LOJA,2071,L2071 - DSP SETOR NOVA SUICA,INN,EMBRATEL,GNA_IP_04573,286.21,2020710000,4 MB,,,,2020710000
ATIVO,LOJA,2070,L2070 - DSP SETOR BUENO IV,VPN IP MPLS,VIVO,620000160212794,353.93,2020700000,10 MBPS,,,,
ATIVO,LOJA,2070,L2070 - DSP SETOR BUENO IV,MONITORA DADOS,VIVO,620000160253993,50,2020700000,0 MB,,,,
ATIVO,LOJA,2070,L2070 - DSP SETOR BUENO IV,INN,EMBRATEL,GNA_IP_03834,302.44,2020700000,4 MB,,,,DADOS
ATIVO,LOJA,2069,L2069 - DSP SETOR MARISTA I,DADOS,VIVO,620000160204999,,2020690000,10 MB,,,,
ATIVO,LOJA,2069,L2069 - DSP SETOR MARISTA I,DADOS,VIVO,620000160235799,,2020690000,0 MB,,,,
ATIVO,Não informado,2069,L2069 - DSP SETOR MARISTA I,VPN IP MPLS,VIVO,620000194970991,380,2020690000,10 MBPS,,,,
ATIVO,Não informado,2069,L2069 - DSP SETOR MARISTA I,MONITORA DADOS,VIVO,620000194981091,20,2020690000,,,,,
ATIVO,LOJA,2069,L2069 - DSP SETOR MARISTA I,INN,EMBRATEL,GNA_IP_03829,305.14,2020690000,4 MB,,,,2020690000
ATIVO,LOJA,2066,L2066 - DSP VILA CARMOSINA II,DADOS,VIVO,110000161673590,,2020660000,0 MB,,,,
ATIVO,Não informado,2066,L2066 - DSP VILA CARMOSINA II,MONITORA DADOS,VIVO,110000196269697,20,2020660000,,,,,
ATIVO,LOJA,2066,L2066 - DSP VILA CARMOSINA II,VPN IP MPLS,VIVO,110002521045597,380,2020660000,10 MBPS,,,,
ATIVO,Não informado,2066,L2066 - DSP VILA CARMOSINA II,DADOS,VIVO,2521045597,,2020660000,,,,,
ATIVO,LOJA,2066,L2066 - DSP VILA CARMOSINA II,INN,EMBRATEL,SPO_IP_82417,494.72,2020660000,4 MB,,,,DADOS
ATIVO,LOJA,2065,L2065 - DSP LUIS GOIS,DADOS,VIVO,110000160710797,,2020650000,0 MB,,,,
ATIVO,Não informado,2065,L2065 - DSP LUIS GOIS,MONITORA DADOS,VIVO,110000195160092,20,2020650000,,,,,
ATIVO,LOJA,2065,L2065 - DSP LUIS GOIS,VPN IP MPLS,VIVO,110005589012893,380,2020650000,10 MBPS,,,,
ATIVO,LOJA,2065,L2065 - DSP LUIS GOIS,INN,EMBRATEL,SPO_IP_65206,195.45,2020650000,4 MB,,,,2020650000
ATIVO,LOJA,2064,L2064 - DSP SALVADOR CHAME CHAME,DADOS,VIVO,710000160331098,312.64,2020640000,10 MB,,,,
ATIVO,LOJA,2064,L2064 - DSP SALVADOR CHAME CHAME,DADOS,VIVO,710000160337690,44.17,2020640000,0 MB,,,,
ATIVO,Não informado,2064,L2064 - DSP SALVADOR CHAME CHAME,VPN IP MPLS,VIVO,710000201932496,234.33,2020640000,10 MBPS,,,,
ATIVO,Não informado,2064,L2064 - DSP SALVADOR CHAME CHAME,MONITORA DADOS,VIVO,710000201948899,12.34,2020640000,,,,,
ATIVO,LOJA,2064,L2064 - DSP SALVADOR CHAME CHAME,INN,EMBRATEL,SDR_IP_23016,279.4,2020640000,4 MB,,,,2020640000
ATIVO,LOJA,2058,L2058 - DSP CACAPAVA II,DADOS,VIVO,111240160112494,,2020580000,0 MB,,,,
ATIVO,Não informado,2058,L2058 - DSP CACAPAVA II,MONITORA DADOS,VIVO,111240195251295,20,2020580000,,,,,
ATIVO,LOJA,2058,L2058 - DSP CACAPAVA II,VPN IP MPLS,VIVO,111243652007996,364.81,2020580000,10 MBPS,,,,
ATIVO,Não informado,2058,L2058 - DSP CACAPAVA II,DADOS,VIVO,3652007996,,2020580000,,,,,
ATIVO,LOJA,2058,L2058 - DSP CACAPAVA II,INN,EMBRATEL,CPV_IP_00328,197.47,2020580000,4 MB,,,,2020580000
ATIVO,LOJA,2056,L2056 - DSP PITUBA IV,DADOS,VIVO,710000160333996,312.64,2020560000,10 MB,,,,
ATIVO,LOJA,2056,L2056 - DSP PITUBA IV,DADOS,VIVO,710000160337298,44.17,2020560000,0 MB,,,,
ATIVO,Não informado,2056,L2056 - DSP PITUBA IV,VPN IP MPLS,VIVO,710000201938195,234.33,2020560000,10 MBPS,,,,
ATIVO,Não informado,2056,L2056 - DSP PITUBA IV,MONITORA DADOS,VIVO,710000201949798,12.34,2020560000,,,,,
ATIVO,LOJA,2056,L2056 - DSP PITUBA IV,INN,EMBRATEL,SDR_IP_23062,305.409999999999,2020560000,4 MB,,,,2020560000
ATIVO,LOJA,2055,L2055 - DSP CLS 201,DADOS,VIVO,610000145464492,,2020550000,10 MB,,,,
ATIVO,LOJA,2055,L2055 - DSP CLS 201,MONITORA DADOS,VIVO,610000145470490,,2020550000,0 MB,,,,
ATIVO,Não informado,2055,L2055 - DSP CLS 201,DADOS,VIVO,610000160071490,,2020550000,,,,,
ATIVO,LOJA,2055,L2055 - DSP CLS 201,DADOS,VIVO,610000160104492,,2020550000,,,,,
ATIVO,Não informado,2055,L2055 - DSP CLS 201,VPN IP MPLS,VIVO,610000194971694,380,2020550000,10 MBPS,,,,
ATIVO,Não informado,2055,L2055 - DSP CLS 201,MONITORA DADOS,VIVO,610000194979290,20,2020550000,,,,,
ATIVO,LOJA,2055,L2055 - DSP CLS 201,INN,EMBRATEL,BSA_IP_22613,305.33,2020550000,4 MB,,,,
ATIVO,LOJA,2052,L2052 - DSP METRO SALVADOR,DADOS,VIVO,710000160207696,289.04,2020520000,10 MB,,,,
ATIVO,LOJA,2052,L2052 - DSP METRO SALVADOR,DADOS,VIVO,710000160254293,43.34,2020520000,0 MB,,,,
ATIVO,Não informado,2052,L2052 - DSP METRO SALVADOR,VPN IP MPLS,VIVO,710000201860092,259.67,2020520000,10 MBPS,,,,
ATIVO,Não informado,2052,L2052 - DSP METRO SALVADOR,MONITORA DADOS,VIVO,710000201885494,12.67,2020520000,,,,,
ATIVO,LOJA,2052,L2052 - DSP METRO SALVADOR,INN,EMBRATEL,SDR_IP_29368,468.409999999999,2020520000,4 MB,,,,DADOS
ATIVO,LOJA,2049,L2049 - DSP MOOCA,DADOS,VIVO,110000160991295,,2020490000,0 MB,,,,
ATIVO,Não informado,2049,L2049 - DSP MOOCA,MONITORA DADOS,VIVO,110000196275095,20,2020490000,,,,,
ATIVO,LOJA,2049,L2049 - DSP MOOCA,VPN IP MPLS,VIVO,110002601524394,380,2020490000,10 MBPS,,,,
ATIVO,Não informado,2049,L2049 - DSP MOOCA,DADOS,VIVO,2601524394,,2020490000,,,,,
ATIVO,LOJA,2049,L2049 - DSP MOOCA,INN,EMBRATEL,SPO_IP_55634,304.97,2020490000,4 MB,,,,2020490000
ATIVO,LOJA,2048,L2048 - DSP ACLIMACAO III,DADOS,VIVO,110000160850896,,2020480000,0 MB,,,,
ATIVO,Não informado,2048,L2048 - DSP ACLIMACAO III,MONITORA DADOS,VIVO,110000195045395,20,2020480000,,,,,
ATIVO,LOJA,2048,L2048 - DSP ACLIMACAO III,VPN IP MPLS,VIVO,110003208112793,380,2020480000,10 MBPS,,,,
ATIVO,Não informado,2048,L2048 - DSP ACLIMACAO III,DADOS,VIVO,3208112793,,2020480000,,,,,
ATIVO,LOJA,2048,L2048 - DSP ACLIMACAO III,INN,EMBRATEL,SPO_IP_56015,280.55,2020480000,4 MB,,,,2020480000
ATIVO,LOJA,2047,L2047 - DSP EPITACIO PESSOA,DADOS,VIVO,115920160692895,,2020470000,0 MB,,,,
ATIVO,Não informado,2047,L2047 - DSP EPITACIO PESSOA,MONITORA DADOS,VIVO,115920195326494,20,2020470000,,,,,
ATIVO,LOJA,2047,L2047 - DSP EPITACIO PESSOA,VPN IP MPLS,VIVO,115923231115190,380,2020470000,10 MBPS,,,,
ATIVO,Não informado,2047,L2047 - DSP EPITACIO PESSOA,DADOS,VIVO,3231115190,,2020470000,,,,,
ATIVO,LOJA,2047,L2047 - DSP EPITACIO PESSOA,INN,EMBRATEL,STS_IP_17276,283.68,2020470000,4 MB,,,,DADOS
ATIVO,LOJA,2046,L2046 - DSP MAESTRO CARDIM,DADOS,VIVO,110000160861290,,2020460000,0 MB,,,,
ATIVO,Não informado,2046,L2046 - DSP MAESTRO CARDIM,MONITORA DADOS,VIVO,110000195105493,20,2020460000,,,,,
ATIVO,LOJA,2046,L2046 - DSP MAESTRO CARDIM,VPN IP MPLS,VIVO,110003284439897,380,2020460000,10 MBPS,,,,
